Rule,Instance,Algorithm,Run,Type,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_20,QIMIG,20.0,INTEGRATED,1.0,0.772307692,0.837359634,0.22769230799999995,0.772307692,262.8245001
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_24,QIMIG,24.0,INTEGRATED,1.0,0.778461538,0.841459578,0.22153846200000005,0.778461538,252.276778
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_22,QIMIG,22.0,INTEGRATED,1.0,0.770769231,0.836336092,0.22923076899999995,0.770769231,258.3885338
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_11,QIMIG,11.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,148.4211917
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_10,QIMIG,10.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,163.017765
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_27,QIMIG,27.0,INTEGRATED,0.997995992,0.766153846,0.832095862,0.23385474078721552,0.7646184675633853,245.8285749
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_25,QIMIG,25.0,INTEGRATED,0.995991984,0.764615385,0.829901037,0.2354187358112231,0.7615507943030738,254.4185762
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_4,QIMIG,4.0,INTEGRATED,0.996039604,0.773846154,0.836031881,0.2261885204803032,0.770781416787083,210.4845273
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_13,QIMIG,13.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,147.7319252
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_12,QIMIG,12.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,165.9320662
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_5,QIMIG,5.0,INTEGRATED,0.994,0.764615385,0.828725637,0.235461073170701,0.76002769269,235.5826118
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_14,QIMIG,14.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,158.5049682
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_16,QIMIG,16.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,142.6128459
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_6,QIMIG,6.0,INTEGRATED,1.0,0.769230769,0.835313113,0.23076923100000002,0.769230769,235.698818
migrationRule2,migrationRule2/num_iter_100pop_size_100/input/input_CO/run_17,QIMIG,17.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,149.2217224
