Rule,Algorithm,Run,F1
Rule1,QF-MIG,29,0.5602955995969097
Rule1,QF-MIG,1,0.5882189374445528
Rule1,QF-MIG,0,0.5892635075116828
Rule1,QF-MIG,3,0.5731054866115016
Rule1,QF-MIG,2,0.5721348314606742
Rule1,QF-MIG,5,0.5649340327451915
Rule1,QF-MIG,4,0.5595196422162714
Rule1,QF-MIG,6,0.5766017204941869
Rule1,QF-MIG,7,0.5797132160768524
Rule1,QF-MIG,8,0.5733015389370957
Rule1,QF-MIG,9,0.5719003534498094
Rule1,QF-MIG,10,0.5785355082664017
Rule1,QF-MIG,11,0.5628322647874389
Rule1,QF-MIG,12,0.5824815099175333
Rule1,QF-MIG,13,0.5663829128617861
Rule1,QF-MIG,14,0.5546772622166389
Rule1,QF-MIG,15,0.5729186924314481
Rule1,QF-MIG,16,0.563670740825412
Rule1,QF-MIG,17,0.561835068955812
Rule1,QF-MIG,18,0.5784424260828755
Rule1,QF-MIG,19,0.5808781908760392
Rule1,QF-MIG,20,0.5594067662753233
Rule1,QF-MIG,21,0.567394729422691
Rule1,QF-MIG,22,0.5849810005529319
Rule1,QF-MIG,23,0.5766689948680263
Rule1,QF-MIG,24,0.5591340686109266
Rule1,QF-MIG,25,0.5732581967213115
Rule1,QF-MIG,26,0.5551377297106213
Rule1,QF-MIG,27,0.57110866713485
Rule1,QF-MIG,28,0.5766017204941869
Rule1,QF-MIG,29,0.5772534464475079
Rule1,QF-MIG,0,0.5721839636339144
Rule1,QF-MIG,1,0.5648494912379876
Rule1,QF-MIG,2,0.563670740825412
Rule1,QF-MIG,6,0.5574679328989631
Rule1,QF-MIG,3,0.5713604661428445
Rule1,QF-MIG,4,0.5702714663953143
Rule1,QF-MIG,5,0.5882189374445528
Rule1,QF-MIG,7,0.54826871069965
Rule1,QF-MIG,9,0.553263352688977
Rule1,QF-MIG,8,0.5588883519356305
Rule1,QF-MIG,10,0.5913752828874993
Rule1,QF-MIG,11,0.564801441651539
Rule1,QF-MIG,13,0.5645032972084225
Rule1,QF-MIG,12,0.5697966696829779
Rule1,QF-MIG,15,0.5699221179155304
Rule1,QF-MIG,14,0.5761714067928614
Rule1,QF-MIG,16,0.5786471526409607
Rule1,QF-MIG,17,0.5777236375191992
Rule1,QF-MIG,18,0.574331373685518
Rule1,QF-MIG,19,0.5808041848068997
Rule1,QF-MIG,20,0.5636129069314062
Rule1,QF-MIG,21,0.5669516676088185
Rule1,QF-MIG,22,0.5655893021493151
Rule1,QF-MIG,23,0.5803781422093094
Rule1,QF-MIG,24,0.5680251718141922
Rule1,QF-MIG,25,0.5663829128617861
Rule1,QF-MIG,26,0.5630232814741256
Rule1,QF-MIG,27,0.5594067662753233
Rule1,QF-MIG,28,0.5764334409759598
Rule1,QF-MIG,29,0.5724558761055112
Rule1,QF-MIG,0,0.5829827331477442
Rule1,QF-MIG,1,0.5618660183052471
Rule1,QF-MIG,2,0.5618660183052471
Rule1,QF-MIG,3,0.5713358672476129
Rule1,QF-MIG,4,0.5924351759902902
Rule1,QF-MIG,5,0.5616221737570053
Rule1,QF-MIG,7,0.569097613212338
Rule1,QF-MIG,6,0.5693201278180887
Rule1,QF-MIG,8,0.5702069556252436
Rule1,QF-MIG,9,0.557104101399548
Rule1,QF-MIG,10,0.5699221179155304
Rule1,QF-MIG,11,0.566903850145976
Rule1,QF-MIG,12,0.567158117771696
Rule1,QF-MIG,13,0.5787029526505433
Rule1,QF-MIG,14,0.5754035017994745
Rule1,QF-MIG,17,0.5376406539197236
Rule1,QF-MIG,15,0.561238440598464
Rule1,QF-MIG,16,0.5711995760747168
Rule1,QF-MIG,18,0.5687109948199354
Rule1,QF-MIG,19,0.5654471845735387
Rule1,QF-MIG,20,0.5573623659939722
Rule1,QF-MIG,21,0.5776117821572366
Rule1,QF-MIG,22,0.5797410463211892
Rule1,QF-MIG,23,0.5786136655396642
Rule1,QF-MIG,24,0.5827396428472855
Rule1,QF-MIG,25,0.5829716897335147
Rule1,QF-MIG,26,0.5859517123227185
Rule1,QF-MIG,27,0.5666071460141788
Rule1,QF-MIG,28,0.5808707914450186
Rule1,QF-MIG,29,0.5942351605736571
Rule1,QF-MIG,0,0.557104101399548
Rule1,QF-MIG,1,0.5786136655396642
Rule1,QF-MIG,2,0.5678763240463718
Rule1,QF-MIG,3,0.5645706558485464
