Rule,Instance,Algorithm,Run,Type,Group,Param_Value,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,POP_SIZE,100,0.9941747572815534,0.7876923076923077,0.8440857904487562,0.21238759301274301,0.7831038088125466,29.026007413864136
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,GREEDY_RATIO,0.1,0.9921414538310412,0.7769230769230769,0.8357204486626402,0.22321530045531626,0.7708175910533475,48.00513005256653
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,POP_SIZE,50,0.9920792079207921,0.7707692307692308,0.8316300521907998,0.22936757510444283,0.7646641279512566,27.951634168624878
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,GREEDY_RATIO,0.4,0.998003992015968,0.7692307692307693,0.8341392610848237,0.23077786271151482,0.7676953784738216,44.69479584693909
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,GREEDY_RATIO,0.2,1.0,0.7646153846153846,0.83224746884354,0.23538461538461541,0.7646153846153846,49.558858156204224
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,POP_SIZE,100,0.9920792079207921,0.7707692307692308,0.8316300521907998,0.22936757510444283,0.7646641279512566,32.853214502334595
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,GREEDY_RATIO,0.5,0.998015873015873,0.7738461538461539,0.8372085499711149,0.22616254970721092,0.7723107448107448,50.97299790382385
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,POP_SIZE,150,0.998,0.7676923076923077,0.8331172875100912,0.23231630141969256,0.7661569230769231,43.06997275352478
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,HYBRID_RATIO,0.3,1.0,0.7769230769230769,0.8404337095925881,0.22307692307692306,0.7769230769230769,48.367817401885986
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,LEARNING_RATE,0.05,0.998046875,0.7861538461538462,0.8454194135030688,0.21385507291635264,0.7846183894230769,50.720983028411865
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,Q_GUIDED,11,SENS,POP_SIZE,150,0.9920792079207921,0.7707692307692308,0.8316300521907998,0.22936757510444283,0.7646641279512566,49.68557024002075
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,LEARNING_RATE,0.5,0.9940828402366864,0.7753846153846153,0.8358770721028741,0.224693310504745,0.770796540737369,54.33044695854187
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,Q_GUIDED,10,SENS,LEARNING_RATE,0.15,0.996039603960396,0.7738461538461539,0.836031880891694,0.2261885206348192,0.7707814166031988,56.09346580505371
